assignment_score,midterm_score,final_score,attendance_percent,early_performance,improvement_score,consistency_score,exam_avg,overall_avg,weighted_total,attendance_risk,weak_subject_count,performance_gap,low_assignment,low_midterm,low_final,pass_fail
0.5243161094224924,0.7940865892291447,0.5712719298245614,0.6135802469135803,0.6592013493258185,-0.22281465940458323,0.8558777525326022,0.682679259526853,0.6298915428253995,0.6240295815253156,0,0,0.26977047980665225,0,0,0,1
0.2781155015197567,0.7191129883843718,0.4396929824561402,0.5987654320987654,0.49861424495206425,-0.2794200059282316,0.7768925499975454,0.579402985420256,0.47897382412008954,0.4750457399536946,0,2,0.44099748686461504,1,0,1,1
0.6048632218844985,0.4635691657866949,0.5010964912280702,1.0,0.5342161938355967,0.037527325441375325,0.9268109242731815,0.48233282850738257,0.5231762929664212,0.5209683127925862,0,1,0.1412940560978036,0,1,0,1
0.6398176291793312,0.3400211193241816,0.7083333333333334,0.8345679012345679,0.48991937425175636,0.36831221400915176,0.8041147291459569,0.5241772263287575,0.5627240272789487,0.5772849578843873,0,1,0.36831221400915176,0,1,0,1
0.1124620060790273,0.1077085533262935,0.5844298245614035,0.7012345679012344,0.11008527970266041,0.47672127123511,0.7261267362920989,0.34606918894384847,0.2682001279889081,0.29982309764615767,0,2,0.47672127123511,1,1,0,0
0.2310030395136777,0.4910242872228088,0.650219298245614,0.8765432098765433,0.36101366336824325,0.1591950110228052,0.7883806985882564,0.5706217927342114,0.45741554166070014,0.47669591731919153,0,2,0.41921625873193624,1,1,0,1
0.4908814589665653,0.9609292502639916,0.7160087719298245,0.2333333333333332,0.7259053546152785,-0.24492047833416708,0.7649066590149481,0.838469011096908,0.7226064937201272,0.7219467215410968,1,1,0.47004779129742624,1,0,0,1
0.4103343465045592,0.6462513199577613,0.5098684210526315,0.7419753086419751,0.5282928332311603,-0.13638289890512978,0.8815628538891993,0.5780598705051965,0.522151362504984,0.5209230683597488,0,1,0.23591697345320212,1,0,0,1
0.4650455927051671,0.4889123548046463,0.7324561403508771,1.0,0.4769789737549067,0.24354378554623085,0.8520182450415592,0.6106842475777617,0.5621380292868968,0.5791698403932948,0,2,0.26741054764571004,1,1,0,1
0.3130699088145895,0.6515311510031678,0.6578947368421052,0.7851851851851852,0.4823005299088787,0.006363585838937369,0.8027266407102526,0.6547129439226365,0.5408319322199542,0.5525382126821693,0,1,0.3448248280275157,1,0,0,1
